"","q16","reltrad","income"
"1"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"2"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"3"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"4"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"5"," Jewish (Judaism) "," Jewish ","50 to under $75,000"
"6"," Jewish (Judaism) "," Jewish ","20 to under $30,000"
"7"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"8"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"10"," Not Interpretable "," Don’t know/refused (no information on religious affiliation) ","30 to under $40,000"
"11"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"12"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"13"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"14"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"15"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"17"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"18"," Liberal faith (VOL) "," Other Faiths ","40 to under $50,000"
"19"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"20"," Protestant "," Historically Black Protestant Churches ","100 to under $150,000"
"21"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"22"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"23"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"24"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"25"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"26"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"27"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"28"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"29"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","10 to under $20,000"
"30"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"31"," Christian (VOL) "," Mainline Protestant Churches ","20 to under $30,000"
"32"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"33"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"34"," Agnostic (not sure if there is a God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"35"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"36"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"37"," Unitarian (Universalist) (VOL) "," Other Faiths ","40 to under $50,000"
"38"," Roman Catholic "," Catholic ","30 to under $40,000"
"39"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"40"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"41"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"42"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"43"," Buddhist "," Buddhist ","50 to under $75,000"
"44"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"45"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"46"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"47"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"48"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"49"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"50"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"51"," Roman Catholic "," Catholic ","20 to under $30,000"
"52"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"53"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"54"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"55"," Roman Catholic "," Catholic ","100 to under $150,000"
"56"," Atheist (do not believe in God) "," Unaffiliated ","30 to under $40,000"
"57"," Roman Catholic "," Catholic ","30 to under $40,000"
"58"," Jewish (Judaism) "," Jewish ","50 to under $75,000"
"59"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"60"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","20 to under $30,000"
"61"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"62"," Roman Catholic "," Catholic ","10 to under $20,000"
"63"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"64"," Roman Catholic "," Catholic ","75 to under $100,000"
"65"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"66"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"67"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"68"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"69"," Roman Catholic "," Catholic ","50 to under $75,000"
"70"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"71"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"72"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"73"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"74"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"75"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"76"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"77"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"78"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"79"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"80"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"81"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"82"," Roman Catholic "," Catholic ","50 to under $75,000"
"83"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","10 to under $20,000"
"84"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"85"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"86"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"87"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"88"," Roman Catholic "," Catholic ","75 to under $100,000"
"89"," Agnostic (not sure if there is a God) "," Unaffiliated ","10 to under $20,000"
"90"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"91"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"92"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"93"," Unitarian (Universalist) (VOL) "," Other Faiths ","75 to under $100,000"
"94"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"95"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"96"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"97"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"98"," Roman Catholic "," Catholic ","75 to under $100,000"
"99"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"100"," Agnostic (not sure if there is a God) "," Unaffiliated ","30 to under $40,000"
"101"," Roman Catholic "," Catholic ","Less than $10,000"
"102"," Roman Catholic "," Catholic ","30 to under $40,000"
"103"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"104"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"105"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"106"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"107"," Roman Catholic "," Catholic ","40 to under $50,000"
"108"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"109"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"110"," Roman Catholic "," Catholic ","Less than $10,000"
"111"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"112"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"113"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"114"," Roman Catholic "," Catholic ","50 to under $75,000"
"115"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"116"," Roman Catholic "," Catholic ","10 to under $20,000"
"117"," Muslim (Islam) "," Muslim ","$150,000 or more"
"118"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"119"," Roman Catholic "," Catholic ","30 to under $40,000"
"120"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"121"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"122"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"123"," Roman Catholic "," Catholic ","Less than $10,000"
"124"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"125"," Buddhist "," Buddhist ","Less than $10,000"
"126"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"127"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"128"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"129"," Jewish (Judaism) "," Jewish ","50 to under $75,000"
"130"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"131"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"132"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"133"," Agnostic (not sure if there is a God) "," Unaffiliated ","Less than $10,000"
"134"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"135"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"136"," Roman Catholic "," Catholic ","20 to under $30,000"
"137"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"138"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"139"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"140"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"141"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"142"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"143"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"144"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"145"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"146"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"147"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"148"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"149"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"150"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"151"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"152"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"153"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"154"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"155"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"156"," Roman Catholic "," Catholic ","100 to under $150,000"
"157"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"158"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"159"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"160"," Roman Catholic "," Catholic ","50 to under $75,000"
"161"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"162"," Roman Catholic "," Catholic ","40 to under $50,000"
"163"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"164"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"165"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"166"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"167"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"168"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"169"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"170"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"171"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
